key,pt-br,en,es,fr,de,it,ja,ko,ar,context
not-found.pgina_no_encontrada,Página não encontrada,Page not found,Página nón encontrada,Page ntion encontrada,Seite nicht encontrada,Página não encontrada,Página não encontrada,Página não encontrada,Página não encontrada,app\not-found.tsx
not-found.ops_o_endereo_que_voc_tentou_acessar_no_existe_ou_,Ops! O endereço que você tentou acessar não existe ou foi removido.,Ops! O endereço que você tentou acessar não existe ou foi removido.,Ops! O endereço que você tentou acessar nón existe ou foi removido.,Ops! O endereço que você tentou acessar ntion existe ou foi removido.,Ops! O endereço que você tentou acessar nicht existe ou foi removido.,Ops! O endereço que você tentou acessar não existe ou foi removido.,Ops! O endereço que você tentou acessar não existe ou foi removido.,Ops! O endereço que você tentou acessar não existe ou foi removido.,Ops! O endereço que você tentou acessar não existe ou foi removido.,app\not-found.tsx
not-found.que_tal_voltar_para_a_pgina_inicial,Que tal voltar para a página inicial?,How about going back to the home page?,Que tal voltar para a página inicial?,Que tal voltar para a página inicial?,Que tal voltar para a página inicial?,Que tal voltar para a página inicial?,Que tal voltar para a página inicial?,Que tal voltar para a página inicial?,Que tal voltar para a página inicial?,app\not-found.tsx
not-found.voltar_para_home,Voltar para Home,Back to Home,Voltar para Home,Voltar para Home,Voltar para Home,Voltar para Home,Voltar para Home,Voltar para Home,Voltar para Home,app\not-found.tsx
OptimizerClient.sade_do_sistema,Saúde do Sistema,Saúde do Sistema,Saúde do Sistema,Saúde do Sistema,Saúde do Sistema,Saúde do Sistema,Saúde do Sistema,Saúde do Sistema,Saúde do Sistema,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.otimizado,Otimizado,Otimizado,Otimizado,Otimizado,Otimizado,Otimizado,Otimizado,Otimizado,Otimizado,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.uso_de_cpu,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.latncia_do_sistema,Latência do Sistema,Latência do Sistema,Latência do Sistema,Latência do Sistema,Latência do Sistema,Latência do Sistema,Latência do Sistema,Latência do Sistema,Latência do Sistema,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.otimizando,Otimizando...,Otimizando...,Otimizando...,Otimizando...,Otimizando...,Otimizando...,Otimizando...,Otimizando...,Otimizando...,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.perfil,Perfil,Profile,Perfil,Perfil,Perfil,Perfil,Perfil,Perfil,Perfil,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.alta_perf,Alta Perf.,Alta Perf.,Alta Perf.,Alta Perf.,Alta Perf.,Alta Perf.,Alta Perf.,Alta Perf.,Alta Perf.,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.motor_de_performance,Motor de Performance,Motor de Performance,Motor de Performance,Motor de Performance,Motor de Performance,Motor de Performance,Motor de Performance,Motor de Performance,Motor de Performance,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.otimizao_em_tempo_real,Otimização em Tempo Real,Otimização em Tempo Real,Otimización em Tempo Real,Otimization em Tempo Real,Otimization em Tempo Real,Otimização em Tempo Real,Otimização em Tempo Real,Otimização em Tempo Real,Otimização em Tempo Real,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.carga_ativa,Carga Ativa,Carga Ativa,Carga Ativa,Carga Ativa,Carga Ativa,Carga Ativa,Carga Ativa,Carga Ativa,Carga Ativa,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.jogos_render,Jogos / Render,Jogos / Render,Jogos / Render,Jogos / Render,Jogos / Render,Jogos / Render,Jogos / Render,Jogos / Render,Jogos / Render,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.alocao_de_rec,Alocação de Rec.,Alocação de Rec.,Alocación de Rec.,Alocation de Rec.,Alocation de Rec.,Alocação de Rec.,Alocação de Rec.,Alocação de Rec.,Alocação de Rec.,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.ndice_de_estabilidade,Índice de Estabilidade,Índice de Estabilidade,Índice de Estabilidad,Índice de Estabilité,Índice de Estabilität,Índice de Estabilidade,Índice de Estabilidade,Índice de Estabilidade,Índice de Estabilidade,app\voltrisoptimizer\OptimizerClient.tsx
OptimizerClient.modo_de_otimizao,Modo de Otimização,Modo de Otimização,Modo de Otimización,Modo de Otimization,Modo de Otimization,Modo de Otimização,Modo de Otimização,Modo de Otimização,Modo de Otimização,app\voltrisoptimizer\OptimizerClient.tsx
